"","d","sent_n"
"1",1,20
"2",7,20
"3",3,20
"4",1,20
"5",1,20
"6",6,20
"7",5,20
"8",1,20
"9",4,20
"10",4,20
"11",4,20
"12",9,20
"13",6,20
"14",2,20
"15",2,20
"16",14,20
"17",4,20
"18",10,20
"19",1,20
"20",4,20
"21",18,20
"22",13,20
"23",3,20
"24",2,20
"25",12,20
"26",7,20
"27",10,20
"28",7,20
"29",1,20
"30",6,20
"31",3,20
"32",4,20
"33",7,20
"34",15,20
"35",6,20
"36",2,20
"37",9,20
"38",6,20
"39",2,20
"40",1,20
"41",10,20
"42",14,20
"43",3,20
"44",4,20
"45",2,20
"46",1,20
"47",1,20
"48",2,20
"49",5,20
"50",4,20
"51",8,20
"52",4,20
"53",1,20
"54",7,20
"55",6,20
"56",9,20
"57",1,20
"58",9,20
"59",11,20
"60",6,20
"61",9,20
"62",2,20
"63",1,20
"64",1,20
"65",8,20
"66",2,20
"67",7,20
"68",18,20
"69",5,20
"70",15,20
"71",3,20
"72",5,20
"73",3,20
"74",2,20
"75",1,20
"76",1,20
"77",3,20
"78",3,20
"79",4,20
"80",7,20
"81",3,20
"82",2,20
"83",2,20
"84",4,20
"85",7,20
"86",5,20
"87",3,20
"88",7,20
"89",3,20
"90",12,20
"91",4,20
"92",10,20
"93",2,20
"94",2,20
"95",3,20
"96",1,20
"97",1,20
"98",6,20
"99",3,20
"100",1,20
"101",3,20
"102",1,20
"103",3,20
"104",2,20
"105",1,20
"106",1,20
"107",6,20
"108",3,20
"109",3,20
"110",10,20
"111",17,20
"112",1,20
"113",1,20
"114",3,20
"115",1,20
"116",2,20
"117",3,20
"118",13,20
"119",3,20
"120",18,20
"121",10,20
"122",1,20
"123",10,20
"124",1,20
"125",4,20
"126",1,20
"127",4,20
"128",5,20
"129",5,20
"130",5,20
"131",1,20
"132",6,20
"133",6,20
"134",15,20
"135",2,20
"136",2,20
"137",6,20
"138",1,20
"139",5,20
"140",6,20
"141",13,20
"142",4,20
"143",2,20
"144",2,20
"145",4,20
"146",1,20
"147",4,20
"148",1,20
"149",2,20
"150",7,20
"151",5,20
"152",6,20
"153",2,20
"154",9,20
"155",8,20
"156",2,20
"157",1,20
"158",1,20
"159",16,20
"160",6,20
"161",1,20
"162",5,20
"163",7,20
"164",10,20
"165",17,20
"166",1,20
"167",3,20
"168",15,20
"169",9,20
"170",13,20
"171",1,20
"172",9,20
"173",12,20
"174",3,20
"175",10,20
"176",14,20
"177",5,20
"178",6,20
"179",5,20
"180",1,20
"181",4,20
"182",2,20
"183",3,20
"184",4,20
"185",13,20
"186",7,20
"187",6,20
"188",8,20
"189",1,20
"190",5,20
"191",11,20
"192",6,20
"193",1,20
"194",9,20
"195",11,20
"196",1,20
"197",2,20
"198",4,20
"199",7,20
"200",2,20
"201",9,20
"202",9,20
"203",2,20
"204",14,20
"205",2,20
"206",3,20
"207",7,20
"208",3,20
"209",2,20
"210",14,20
"211",10,20
"212",1,20
"213",2,20
"214",4,20
"215",6,20
"216",1,20
"217",11,20
"218",6,20
"219",4,20
"220",11,20
"221",3,20
"222",6,20
"223",6,20
"224",3,20
"225",1,20
"226",5,20
"227",1,20
"228",2,20
"229",5,20
"230",6,20
"231",13,20
"232",2,20
"233",9,20
"234",7,20
"235",4,20
"236",2,20
"237",1,20
"238",3,20
"239",2,20
"240",6,20
"241",5,20
"242",2,20
"243",3,20
"244",5,20
"245",5,20
"246",4,20
"247",4,20
"248",3,20
"249",3,20
"250",6,20
"251",2,20
"252",5,20
"253",4,20
"254",12,20
"255",3,20
"256",1,20
"257",1,20
"258",1,20
"259",6,20
"260",2,20
"261",2,20
"262",1,20
"263",2,20
"264",1,20
"265",6,20
"266",4,20
"267",2,20
"268",3,20
"269",7,20
"270",5,20
"271",4,20
"272",3,20
"273",1,20
"274",8,20
"275",16,20
"276",11,20
"277",5,20
"278",4,20
"279",1,20
"280",6,20
"281",8,20
"282",2,20
"283",4,20
"284",14,20
"285",13,20
"286",1,20
"287",2,20
"288",2,20
"289",5,20
"290",1,20
"291",4,20
"292",4,20
"293",1,20
"294",5,20
"295",2,20
"296",3,20
"297",1,20
"298",2,20
"299",8,20
"300",1,20
"301",2,20
"302",2,20
"303",3,20
"304",4,20
"305",6,20
"306",3,20
"307",3,20
"308",1,20
"309",3,20
"310",2,20
"311",1,20
"312",3,20
"313",5,20
"314",10,20
"315",3,20
"316",1,20
"317",13,20
"318",4,20
"319",4,20
"320",2,20
"321",13,20
"322",16,20
"323",4,20
"324",7,20
"325",4,20
"326",5,20
"327",1,20
"328",6,20
"329",11,20
"330",3,20
"331",1,20
"332",1,20
"333",3,20
"334",4,20
"335",7,20
"336",9,20
"337",4,20
"338",6,20
"339",4,20
"340",15,20
"341",6,20
"342",7,20
"343",8,20
"344",3,20
"345",3,20
"346",12,20
"347",5,20
"348",3,20
"349",1,20
"350",9,20
"351",8,20
"352",14,20
"353",15,20
"354",3,20
"355",1,20
"356",16,20
"357",6,20
"358",1,20
"359",9,20
"360",1,20
"361",1,20
"362",4,20
"363",4,20
"364",2,20
"365",5,20
