"","language","ISO_language","family","script"
"1","Arabic","ara","Afro-Asiatic","Arabic"
"2","Czech","ces","Indo-European","Latin"
"3","German","deu","Indo-European","Latin"
"4","English","eng","Indo-European","Latin"
"5","Finnish","fin","Uralic","Latin"
"6","French","fra","Indo-European","Latin"
"7","Hindi","hin","Indo-European","Devanagari"
"8","Indonesian","ind","Austronesian","Latin"
"9","Icelandic","isl","Indo-European","Latin"
"10","Italian","ita","Indo-European","Latin"
"11","Japanese","jpn","Japonic","Japanese"
"12","Korean","kor","Koreanic","Hangul"
"13","Polish","pol","Indo-European","Latin"
"14","Portuguese","por","Indo-European","Latin"
"15","Russian","rus","Indo-European","Cyrillic"
"16","Spanish","spa","Indo-European","Latin"
"17","Swedish","swe","Indo-European","Latin"
"18","Thai","tha","Kra-Dai","Thai"
"19","Turkish","tur","Turkic","Latin"
"20","Chinese","zho","Sino-Tibetan","Han"

