"sent_n","ISO_language","coll","best","dstar","q1","q2","type","sent_numb","omega"
"10","ara","PSUD","5","2","0.7874","0.4762","5",36,0.843164365404068
"10","ara","PUD","5","2","0.6944","0.4502","5",36,0.782368813199567
"10","ces","PSUD","4","4","0.6114","0.3916","3-4",49,0.806457463467224
"10","ces","PUD","1","8","0.5161","0.6773","1",49,0.78213088379576
"10","deu","PSUD","4","3","0.5914","0.3139","3-4",34,0.682487019494019
"10","deu","PUD","5","3","0.5219","0.3381","5",34,0.558122467487793
"10","eng","PSUD","4","5","0.6243","0.0363","3-4",25,0.824266793465878
"10","eng","PUD","4","6","0.5094","0.001","3-4",25,0.741671907040328
"10","fin","PSUD","7","3","0.6815","0.4718","6-7",67,0.787809900441821
"10","fin","PUD","7","3","0.6378","0.4527","6-7",67,0.765042017125622
"10","fra","PSUD","1","2","0.6537","0.5586","1",18,0.890210557329281
"10","fra","PUD","1","4","0.4617","0.5384","1",18,0.77016319020963
"10","hin","PSUD","7","3","0.8693","0.2615","6-7",19,0.576214498697336
"10","hin","PUD","7","4","0.7781","0.3051","6-7",19,0.592864949219846
"10","ind","PSUD","4","3","0.6919","0.3948","3-4",44,0.828386552454318
"10","ind","PUD","4","3","0.5945","0.4214","3-4",44,0.787369169612169
"10","isl","PSUD","4","3","0.6892","0.3908","3-4",48,0.840338788547456
"10","isl","PUD","6","5","0.4765","0.742","6-7",48,0.749976810899799
"10","ita","PSUD","4","5","0.6186","0.049","3-4",25,0.848500698386282
"10","ita","PUD","1","8","0.4739","0.648","1",25,0.741484176126591
"10","jpn","PSUD","4","3","0.7169","0.2146","3-4",17,0.709741090111934
"10","jpn","PUD","4","4","0.5464","0.2254","3-4",17,0.781576923855197
"10","kor","PSUD","7","3","0.8207","0.304","6-7",59,0.612087782932913
"10","kor","PUD","7","4","0.8057","0.3065","6-7",59,0.601874082943004
"10","pol","PSUD","4","4","0.6476","0.3602","3-4",58,0.846848935409261
"10","pol","PUD","1","3","0.5668","0.4989","1",58,0.803327772840424
"10","por","PSUD","4","3","0.668","0.4015","3-4",36,0.827841331021156
"10","por","PUD","2","7","0.496","0.6652","2",36,0.764604457767512
"10","rus","PSUD","5","3","0.6656","0.4583","5",45,0.828161547185193
"10","rus","PUD","1","7","0.5256","0.7617","1",45,0.794015763314009
"10","spa","PSUD","4","4","0.6399","0.2017","3-4",21,0.815531975682352
"10","spa","PUD","1","4","0.4999","0.4333","1",21,0.729899328152314
"10","swe","PSUD","1","2","0.6221","0.5587","1",38,0.839495851223894
"10","swe","PUD","2","7","0.4866","0.6896","2",38,0.761070886005708
"10","tha","PSUD","5","2","0.7257","0.4596","5",22,0.792309173040398
"10","tha","PUD","6","5","0.6654","0.4541","6-7",22,0.801248299812893
"10","tur","PSUD","7","5","0.7637","0.3234","6-7",60,0.587625029856151
"10","tur","PUD","7","5","0.7464","0.3291","6-7",60,0.593334589493056
"10","zho","PSUD","6","8","0.5742","0.3668","6-7",27,0.634750817168819
"10","zho","PUD","5","3","0.5364","0.3707","5",27,0.634604178962624
"11","ara","PSUD","6","8","0.7709","0.4298","6-7",44,0.81839674693123
"11","ara","PUD","7","5","0.7216","0.4059","6-7",44,0.790928562178562
"11","ces","PSUD","7","4","0.6588","0.5076","6-7",50,0.827430016249507
"11","ces","PUD","4","3","0.5461","0.4153","3-4",50,0.776170020317846
"11","deu","PSUD","4","4","0.5314","0.2799","3-4",38,0.7055877011369
"11","deu","PUD","4","4","0.4879","0.2124","3-4",38,0.576225016402362
"11","eng","PSUD","1","5","0.5709","0.4326","1",31,0.832386854743096
"11","eng","PUD","1","2","0.3803","0.4719","1",31,0.73078877747882
"11","fin","PSUD","7","3","0.6502","0.4601","6-7",72,0.795242554792676
"11","fin","PUD","7","3","0.5995","0.4305","6-7",72,0.755527565898943
"11","fra","PSUD","4","4","0.6471","0.0561","3-4",27,0.836608415143037
"11","fra","PUD","4","5","0.5136","0.2513","3-4",27,0.764835009327763
"11","hin","PSUD","7","4","0.8617","0.2657","6-7",26,0.627125967165755
"11","hin","PUD","4","3","0.6808","0.1587","3-4",26,0.633285953177258
"11","ind","PSUD","5","3","0.686","0.386","5",39,0.837543257737776
"11","ind","PUD","4","3","0.6125","0.3517","3-4",39,0.784359855842576
"11","isl","PSUD","5","2","0.7435","0.5114","5",47,0.86827787766159
"11","isl","PUD","1","4","0.5212","0.4922","1",47,0.820927689331945
"11","ita","PSUD","1","5","0.5974","0.5115","1",24,0.88243384701718
"11","ita","PUD","2","2","0.4002","0.4907","2",24,0.774757337402265
"11","jpn","PSUD","5","2","0.8334","0.3019","5",9,0.664224664224664
"11","jpn","PUD","5","3","0.5626","0.3436","5",9,0.705096618357488
"11","kor","PSUD","7","4","0.8219","0.2924","6-7",56,0.640194490612273
"11","kor","PUD","7","5","0.6877","0.2535","6-7",56,0.644623160304114
"11","pol","PSUD","4","4","0.6231","0.348","3-4",53,0.820552871789046
"11","pol","PUD","4","4","0.5561","0.3485","3-4",53,0.779450619565468
"11","por","PSUD","4","5","0.654","0.001","3-4",14,0.876436420722135
"11","por","PUD","1","5","0.5071","0.4544","1",14,0.809251871317089
"11","rus","PSUD","4","3","0.6481","0.4367","3-4",61,0.847245574454511
"11","rus","PUD","4","4","0.5446","0.4236","3-4",61,0.815023240796584
"11","spa","PSUD","4","3","0.6687","0.3861","3-4",35,0.842906099191813
"11","spa","PUD","4","4","0.5201","0.3705","3-4",35,0.781828245828246
"11","swe","PSUD","4","5","0.601","0.2427","3-4",43,0.832102576292284
"11","swe","PUD","2","4","0.4944","0.4405","2",43,0.767379898123073
"11","tha","PSUD","7","2","0.818","0.3779","6-7",20,0.814284798534799
"11","tha","PUD","5","2","0.7151","0.41","5",20,0.816334000637599
"11","tur","PSUD","4","4","0.63","0.001","3-4",74,0.555885615091012
"11","tur","PUD","4","4","0.6201","0.001","3-4",74,0.56618381096642
"11","zho","PSUD","4","3","0.6123","0.277","3-4",41,0.65396989115258
"11","zho","PUD","7","7","0.5483","0.3379","6-7",41,0.649498025638004
"12","ara","PSUD","7","3","0.7877","0.4105","6-7",44,0.832582568203616
"12","ara","PUD","5","2","0.7302","0.3864","5",44,0.800177543688926
