"ISO_language","q1","q2","ratio","best","coll"
"ara",0.620511438898598,0.2405173,2.57990356160907,"7","PSUD"
"zho",0.436273264880442,0.1990295,2.19200301905216,"7","PSUD"
"ces",0.6022945,0.2792393,2.15691165247872,"3","PSUD"
"eng",0.5749269,0.2328147,2.46946133556,"4","PSUD"
"fin",0.583340932551448,0.3688942,1.58132313425217,"6","PSUD"
"fra",0.6522679,0.2158702,3.02157453877376,"4","PSUD"
"deu",0.5233193,0.2283677,2.29156443752772,"3","PSUD"
"hin",0.729854811401214,0.1699985,4.2933014785496,"7","PSUD"
"isl",0.6526242,0.2662904,2.4507988271451,"3","PSUD"
"ind",0.566742470195508,0.251368,2.25463253156928,"7","PSUD"
"ita",0.6451337,0.2288117,2.81949611842401,"3","PSUD"
"jpn",0.595423696497705,0.1170173,5.08833904471993,"7","PSUD"
"kor",0.630681269638412,0.1863905,3.38365565647612,"7","PSUD"
"pol",0.6878145,0.3128078,2.19884062993314,"3","PSUD"
"por",0.6423097,0.2259788,2.84234494563207,"3","PSUD"
"rus",0.6286644,0.2618886,2.40050311468311,"3","PSUD"
"spa",0.6466947,0.2209841,2.92643090611496,"4","PSUD"
"swe",0.6069735,0.2826785,2.14722202077625,"3","PSUD"
"tha",0.603665473290484,0.2211861,2.72921975336824,"6","PSUD"
"tur",0.598309420160603,0.1926937,3.1049765517015,"7","PSUD"
"ara",0.513937824792342,0.2380828,2.1586516320891,"7","PUD"
"zho",0.431518400161522,0.2188727,1.97154967321883,"6","PUD"
"ces",0.4994239,0.2695862,1.85255736384132,"3","PUD"
"eng",0.4533721,0.255884,1.77178760688437,"3","PUD"
"fin",0.56182559408257,0.3740556,1.50198418118207,"6","PUD"
"fra",0.4916736,0.1955862,2.51384606889443,"4","PUD"
"deu",0.4851563,0.221801,2.18734947092213,"3","PUD"
"hin",0.585056124466088,0.1687961,3.46605238193351,"7","PUD"
"isl",0.5306354,0.3087018,1.71892551322992,"3","PUD"
"ind",0.6294601,0.3046626,2.06608917536974,"3","PUD"
"ita",0.490591,0.2058897,2.38278554002459,"4","PUD"
"jpn",0.5215993,0.1184251,4.40446577625858,"4","PUD"
"kor",0.562912286771639,0.1787746,3.14872631107349,"7","PUD"
"pol",0.5691516,0.2877209,1.97813784122043,"3","PUD"
"por",0.5036795,0.2337127,2.15512250724928,"3","PUD"
"rus",0.5286602,0.2605487,2.02902643536506,"3","PUD"
"spa",0.5097565,0.2304425,2.21207676535361,"4","PUD"
"swe",0.4618359,0.2571246,1.79615602707792,"3","PUD"
"tha",0.493091694410994,0.2301427,2.14254762115415,"6","PUD"
"tur",0.588098960013618,0.1942271,3.02789342997768,"7","PUD"
