"ISO_language","q1","q2","ratio","best","coll"
"ara",0.621,0.241,2.58,7,"PSUD"
"zho",0.436,0.199,2.192,7,"PSUD"
"ces",0.602,0.279,2.157,3,"PSUD"
"eng",0.575,0.233,2.469,4,"PSUD"
"fin",0.583,0.369,1.581,6,"PSUD"
"fra",0.652,0.216,3.022,4,"PSUD"
"deu",0.523,0.228,2.292,3,"PSUD"
"hin",0.73,0.17,4.293,7,"PSUD"
"isl",0.653,0.266,2.451,3,"PSUD"
"ind",0.567,0.251,2.255,7,"PSUD"
"ita",0.645,0.229,2.819,3,"PSUD"
"jpn",0.595,0.117,5.088,7,"PSUD"
"kor",0.631,0.186,3.384,7,"PSUD"
"pol",0.688,0.313,2.199,3,"PSUD"
"por",0.642,0.226,2.842,3,"PSUD"
"rus",0.629,0.262,2.401,3,"PSUD"
"spa",0.647,0.221,2.926,4,"PSUD"
"swe",0.607,0.283,2.147,3,"PSUD"
"tha",0.604,0.221,2.729,6,"PSUD"
"tur",0.598,0.193,3.105,7,"PSUD"
"ara",0.514,0.238,2.159,7,"PUD"
"zho",0.432,0.219,1.972,6,"PUD"
"ces",0.499,0.27,1.853,3,"PUD"
"eng",0.453,0.256,1.772,3,"PUD"
"fin",0.562,0.374,1.502,6,"PUD"
"fra",0.492,0.196,2.514,4,"PUD"
"deu",0.485,0.222,2.187,3,"PUD"
"hin",0.585,0.169,3.466,7,"PUD"
"isl",0.531,0.309,1.719,3,"PUD"
"ind",0.629,0.305,2.066,3,"PUD"
"ita",0.491,0.206,2.383,4,"PUD"
"jpn",0.522,0.118,4.404,4,"PUD"
"kor",0.563,0.179,3.149,7,"PUD"
"pol",0.569,0.288,1.978,3,"PUD"
"por",0.504,0.234,2.155,3,"PUD"
"rus",0.529,0.261,2.029,3,"PUD"
"spa",0.51,0.23,2.212,4,"PUD"
"swe",0.462,0.257,1.796,3,"PUD"
"tha",0.493,0.23,2.143,6,"PUD"
"tur",0.588,0.194,3.028,7,"PUD"
