treebank	n	D	Drla	Dmin
ara	35	114	408	63
ara	21	45	146.667	27
ara	30	60	299.667	44
ara	14	16	65	16
ara	9	14	26.6667	11
ara	15	43	74.6667	24
ara	11	29	40	14
ara	32	56	341	48
ara	20	34	133	28
ara	11	25	40	13
ara	18	41	107.667	27
ara	21	40	146.667	29
ara	19	35	120	27
ara	23	46	176	30
ara	17	28	96	24
ara	14	22	65	18
ara	10	13	33	12
ara	35	85	408	61
ara	13	28	56	21
ara	21	30	146.667	27
ara	13	20	56	16
ara	12	21	47.6667	14
ara	29	62	280	45
ara	11	17	40	13
ara	11	19	40	15
ara	16	35	85	23
ara	23	41	176	33
ara	21	46	146.667	28
ara	16	34	85	23
ara	38	104	481	69
ara	24	47	191.667	33
ara	14	18	65	15
ara	16	33	85	23
ara	28	61	261	41
ara	27	61	242.667	42
ara	26	43	225	38
ara	19	32	120	27
ara	6	6	11.6667	6
ara	10	15	33	11
ara	19	36	120	26
ara	17	25	96	22
ara	8	14	21	10
ara	19	31	120	27
ara	33	89	362.667	51
ara	23	54	176	38
ara	26	48	225	40
ara	12	21	47.6667	16
ara	30	49	299.667	38
ara	22	33	161	28
ara	33	72	362.667	56
ara	18	35	107.667	24
ara	28	46	261	40
ara	10	15	33	10
ara	25	45	208	38
ara	10	14	33	13
ara	32	58	341	48
ara	44	88	645	72
ara	15	21	74.6667	17
ara	17	20	96	20
ara	20	31	133	30
ara	12	24	47.6667	15
ara	10	13	33	12
ara	11	21	40	15
ara	11	15	40	10
ara	17	24	96	21
ara	8	9	21	8
ara	16	34	85	26
ara	20	43	133	31
ara	12	22	47.6667	19
ara	29	72	280	44
ara	21	44	146.667	27
ara	23	41	176	33
ara	20	53	133	32
ara	29	79	280	44
ara	14	28	65	16
ara	21	27	146.667	26
ara	19	28	120	26
ara	23	46	176	29
ara	29	47	280	45
ara	21	40	146.667	29
ara	11	19	40	13
ara	18	41	107.667	22
ara	30	70	299.667	48
ara	21	42	146.667	30
ara	37	66	456	54
ara	27	47	242.667	41
ara	21	31	146.667	30
ara	26	50	225	39
ara	29	45	280	36
ara	23	40	176	36
ara	22	83	161	33
ara	39	76	506.667	62
ara	33	72	362.667	52
ara	20	31	133	26
ara	36	61	431.667	56
ara	10	19	33	11
ara	16	39	85	24
ara	25	52	208	35
ara	20	41	133	28
ara	16	31	85	26
ara	27	73	242.667	38
ara	25	50	208	35
ara	41	75	560	58
ara	15	31	74.6667	21
ara	27	59	242.667	38
ara	20	58	133	28
ara	31	61	320	42
ara	24	46	191.667	39
ara	38	71	481	58
ara	25	53	208	38
ara	10	18	33	11
ara	13	26	56	18
ara	18	25	107.667	23
ara	8	8	21	8
ara	33	61	362.667	46
ara	36	78	431.667	60
ara	24	62	191.667	31
ara	26	45	225	41
ara	6	12	11.6667	7
ara	27	53	242.667	42
ara	11	14	40	12
ara	41	97	560	67
ara	15	28	74.6667	20
ara	14	21	65	17
ara	6	5	11.6667	5
ara	21	39	146.667	33
ara	18	45	107.667	27
ara	25	40	208	35
ara	8	14	21	10
ara	17	29	96	26
ara	18	29	107.667	21
ara	20	45	133	25
ara	24	48	191.667	46
ara	8	14	21	9
ara	19	33	120	30
ara	9	13	26.6667	10
ara	20	43	133	28
ara	28	58	261	37
ara	18	26	107.667	22
ara	14	23	65	17
ara	17	30	96	21
ara	25	48	208	35
ara	23	45	176	32
ara	37	77	456	62
ara	16	55	85	21
ara	20	48	133	28
ara	15	22	74.6667	16
ara	8	9	21	8
ara	3	2	2.66667	2
ara	15	42	74.6667	24
ara	22	41	161	33
ara	22	43	161	32
ara	18	32	107.667	26
ara	12	30	47.6667	15
ara	18	35	107.667	26
ara	26	46	225	37
ara	16	27	85	24
ara	30	49	299.667	40
ara	17	35	96	23
ara	11	17	40	14
ara	13	22	56	19
ara	24	38	191.667	35
ara	16	26	85	21
ara	14	26	65	17
ara	18	45	107.667	25
ara	22	43	161	31
ara	17	33	96	24
ara	14	33	65	21
ara	10	15	33	10
ara	18	29	107.667	27
ara	3	3	2.66667	2
ara	28	81	261	44
ara	14	20	65	16
ara	10	15	33	10
ara	21	40	146.667	33
ara	8	9	21	9
ara	14	50	65	17
ara	9	13	26.6667	11
ara	17	31	96	22
ara	11	20	40	13
ara	17	32	96	27
ara	21	36	146.667	28
ara	14	23	65	21
ara	15	33	74.6667	20
ara	19	42	120	31
ara	22	38	161	33
ara	5	5	8	5
ara	6	6	11.6667	6
ara	21	30	146.667	27
ara	14	19	65	18
ara	21	37	146.667	31
ara	23	45	176	36
ara	23	45	176	35
ara	8	12	21	9
ara	19	30	120	26
ara	31	49	320	48
ara	31	81	320	53
ara	21	40	146.667	32
ara	8	20	21	9
ara	22	39	161	32
ara	31	77	320	52
ara	13	26	56	18
ara	33	69	362.667	55
ara	23	44	176	34
ara	11	16	40	12
ara	11	16	40	15
ara	22	37	161	29
