treebank	n	D	Drla	Dmin
ara	35	114	408	68
ara	21	45	146.667	32
ara	30	69	299.667	54
ara	14	20	65	20
ara	9	16	26.6667	12
ara	15	42	74.6667	24
ara	11	31	40	15
ara	32	67	341	56
ara	20	40	133	32
ara	11	29	40	14
ara	18	44	107.667	29
ara	21	50	146.667	33
ara	19	35	120	29
ara	23	57	176	33
ara	17	33	96	28
ara	14	26	65	21
ara	10	14	33	13
ara	35	93	408	67
ara	13	26	56	23
ara	21	35	146.667	32
ara	13	24	56	19
ara	12	23	47.6667	15
ara	29	69	280	55
ara	11	24	40	15
ara	11	20	40	15
ara	16	37	85	26
ara	23	55	176	38
ara	21	49	146.667	32
ara	16	38	85	25
ara	38	115	481	73
ara	24	53	191.667	36
ara	14	23	65	18
ara	16	35	85	24
ara	28	72	261	56
ara	27	74	242.667	42
ara	26	56	225	47
ara	19	41	120	31
ara	6	7	11.6667	7
ara	10	17	33	12
ara	19	38	120	28
ara	17	29	96	25
ara	8	14	21	10
ara	19	32	120	31
ara	33	94	362.667	57
ara	23	56	176	39
ara	26	59	225	45
ara	12	30	47.6667	18
ara	30	59	299.667	47
ara	22	41	161	32
ara	33	81	362.667	61
ara	18	45	107.667	29
ara	28	61	261	48
ara	10	17	33	12
ara	25	46	208	39
ara	10	19	33	14
ara	32	65	341	54
ara	44	105	645	82
ara	15	27	74.6667	19
ara	17	22	96	22
ara	20	35	133	33
ara	12	32	47.6667	20
ara	10	14	33	13
ara	11	22	40	15
ara	11	18	40	13
ara	17	30	96	25
ara	8	12	21	9
ara	16	33	85	28
ara	20	48	133	35
ara	12	24	47.6667	20
ara	29	80	280	52
ara	21	50	146.667	33
ara	23	48	176	37
ara	20	70	133	36
ara	29	85	280	51
ara	14	32	65	17
ara	21	34	146.667	33
ara	19	30	120	29
ara	23	61	176	32
ara	29	50	280	46
ara	21	44	146.667	33
ara	11	21	40	14
ara	18	52	107.667	26
ara	30	80	299.667	54
ara	21	46	146.667	34
ara	37	67	456	61
ara	27	54	242.667	47
ara	21	40	146.667	36
ara	26	54	225	46
ara	29	51	280	40
ara	23	47	176	38
ara	22	88	161	38
ara	39	87	506.667	69
ara	33	85	362.667	59
ara	20	36	133	30
ara	36	65	431.667	62
ara	10	18	33	13
ara	16	42	85	25
ara	25	62	208	40
ara	20	47	133	30
ara	16	31	85	27
ara	27	76	242.667	41
ara	25	58	208	40
ara	41	84	560	63
ara	15	34	74.6667	22
ara	27	71	242.667	45
ara	20	61	133	30
ara	31	70	320	48
ara	24	56	191.667	42
ara	38	80	481	65
ara	25	58	208	42
ara	10	17	33	12
ara	13	27	56	19
ara	18	30	107.667	26
ara	8	9	21	9
ara	33	68	362.667	53
ara	36	88	431.667	68
ara	24	65	191.667	38
ara	26	49	225	45
ara	6	12	11.6667	7
ara	27	59	242.667	46
ara	11	18	40	14
ara	41	109	560	78
ara	15	30	74.6667	21
ara	14	26	65	19
ara	6	7	11.6667	7
ara	21	47	146.667	36
ara	18	48	107.667	28
ara	25	45	208	39
ara	8	15	21	10
ara	17	34	96	27
ara	18	34	107.667	24
ara	20	49	133	27
ara	24	51	191.667	48
ara	8	12	21	10
ara	19	37	120	34
ara	9	14	26.6667	11
ara	20	44	133	31
ara	28	58	261	43
ara	18	29	107.667	24
ara	14	25	65	19
ara	17	45	96	23
ara	25	53	208	39
ara	23	52	176	37
ara	37	88	456	70
ara	16	55	85	25
ara	20	49	133	30
ara	15	23	74.6667	18
ara	8	10	21	9
ara	3	2	2.66667	2
ara	15	31	74.6667	25
ara	22	42	161	36
ara	22	45	161	34
ara	18	34	107.667	27
ara	12	40	47.6667	17
ara	18	37	107.667	29
ara	26	54	225	47
ara	16	31	85	26
ara	30	55	299.667	44
ara	17	35	96	28
ara	11	18	40	15
ara	13	28	56	19
ara	24	42	191.667	38
ara	16	30	85	24
ara	14	30	65	19
ara	18	46	107.667	26
ara	22	48	161	36
ara	17	35	96	27
ara	14	31	65	21
ara	10	19	33	12
ara	18	33	107.667	29
ara	3	3	2.66667	2
ara	28	88	261	47
ara	14	22	65	18
ara	10	18	33	12
ara	21	42	146.667	36
ara	8	9	21	9
ara	14	52	65	19
ara	9	15	26.6667	11
ara	17	35	96	26
ara	11	24	40	14
ara	17	38	96	29
ara	21	41	146.667	32
ara	14	30	65	24
ara	15	45	74.6667	23
ara	19	41	120	34
ara	22	45	161	39
ara	5	5	8	5
ara	6	7	11.6667	7
ara	21	35	146.667	30
ara	14	20	65	20
ara	21	48	146.667	35
ara	23	51	176	40
ara	23	49	176	38
ara	8	13	21	10
ara	19	38	120	29
ara	31	64	320	59
ara	31	91	320	57
ara	21	43	146.667	34
ara	8	18	21	10
ara	22	45	161	37
ara	31	83	320	58
ara	13	28	56	20
ara	33	75	362.667	62
ara	23	55	176	40
ara	11	17	40	14
ara	11	17	40	16
ara	22	40	161	33
ara	19	48	120	31
ara	5	7	8	5
ara	13	23	56	19
ara	13	28	56	21
ara	20	45	133	30
ara	4	3	5	3
ara	11	18	40	14
ara	14	44	65	20
ara	12	18	47.6667	16
ara	19	42	120	33
ara	28	68	261	53
ara	31	64	320	53
ara	16	31	85	27
ara	23	48	176	35
ara	27	56	242.667	43
ara	7	10	16	9
ara	5	5	8	5
ara	31	70	320	61
ara	31	60	320	50
ara	14	38	65	19
ara	26	76	225	53
ara	7	10	16	7
ara	5	6	8	5
ara	28	66	261	50
ara	24	46	191.667	41
ara	5	7	8	6
ara	9	13	26.6667	11
ara	20	36	133	26
ara	17	37	96	26
ara	20	43	133	30
ara	23	47	176	37
ara	9	13	26.6667	11
ara	8	13	21	9
ara	8	12	21	10
ara	30	61	299.667	51
ara	35	133	408	83
ara	20	47	133	37
ara	17	26	96	25
ara	24	51	191.667	38
ara	14	23	65	19
ara	14	26	65	19
ara	18	45	107.667	25
ara	8	13	21	10
ara	23	62	176	37
ara	12	22	47.6667	20
ara	22	65	161	41
ara	17	29	96	26
ara	10	26	33	16
ara	13	40	56	16
ara	15	27	74.6667	22
ara	32	81	341	61
ara	21	47	146.667	33
ara	21	36	146.667	31
ara	17	43	96	27
ara	26	74	225	55
ara	19	45	120	30
ara	20	45	133	31
ara	15	27	74.6667	24
ara	28	69	261	50
ara	9	13	26.6667	13
ara	22	41	161	29
ara	14	22	65	21
ara	20	59	133	32
ara	12	18	47.6667	17
ara	28	61	261	50
ara	17	31	96	29
ara	16	33	85	26
ara	8	12	21	8
ara	34	78	385	65
ara	13	26	56	17
ara	22	58	161	35
ara	27	70	242.667	49
ara	6	6	11.6667	6
ara	14	32	65	21
ara	17	36	96	28
ara	17	28	96	24
ara	11	21	40	15
ara	15	24	74.6667	21
ara	13	33	56	17
ara	15	31	74.6667	23
ara	15	31	74.6667	23
ara	13	23	56	18
